重九（宋·释可观）　　七言绝句	胸中一寸灰已冷，头上千茎雪未消。老步只宜平地去，不知何事又登高。
自题像（宋·释可观）	维摩诘不坏于身，而随一相老竹庵。坏与不坏，初无欠长。到处江山风月，不是这个伎俩①。
颂古（宋·释可观）	夹山不在一桡上，明月芦花夜夜寒。谁谓华亭消息断，俨然秋色在江山①。
