伤春（宋·俞处俊）　　七言绝句　押东韵	黏天芳草绿蒙茸，久客伤心望不穷。山色自随人远近，莺声只在水西东。
搜春（宋·俞处俊）　　七言绝句　押东韵	千林欲暗稻秧雨，三月尚寒花信风。九节老筇应不惜，步随流水看残红①。
百字令（宋·俞处俊）	残蝉断雁，政西风萧索，夕阳流水。落木无边幽眺处，云拥登山屐齿。岁月如驰，古今同梦，惟有悲欢异。绿尊空对，故人相望千里。追念淮海当年，五云行殿，咫尺天颜喜。清晓胪传仙仗里，衣染玉龙香细。今日天涯，黄花零乱，满眼重阳泪。艰难多病，二陵无奈秋思。
句（宋·俞处俊）　　押阳韵	叫月子规喉舌冷，宿花蝴蝶梦魂香①。
