清溪（宋·萧贯）　　五言绝句　押齐韵	山开明月峡，水写武陵溪。地胜人堪隐，源深客自迷。
齐山（宋·萧贯）　　七言绝句　押灰韵	秋风秋浦断飞埃，路入齐山有梵台。黄菊绽时君始至，紫微去后我重来①。
句（宋·萧贯）	十二峣关隐空绿，兽猊呼焰①椒壁馥。渴乌涓涓不相续，辘轳欲转霏红玉。百刻香残陨莲烛，九龙吐水漫寒浆。红绡佩鱼无左珰，两两趋走②瞻扶桑。红萍半圭山③波面，回首觚棱九霞绚。鸣鞘声④从天上来，大剑高冠满前殿（宫中晓寒歌）。
