黄山杂咏 桃花峰（宋·邓宗度）　　五言绝句　押麌韵	刘阮辞世尘，桃花谁复主。无计殢春风，一夜零红雨。
黄山杂咏 石床峰（宋·邓宗度）　　五言绝句　押庚韵	原非人力建，造化琢磨成。一枕游仙梦，蟾波白昼生。
黄山杂咏 祥符寺（宋·邓宗度）　　五言绝句　押支韵	云水最饶处，轮蹄无到时。夜蟾生佛面，春雪印僧眉。
黄山杂咏 石门峰（宋·邓宗度）　　五言绝句　押删韵	暮云无意锁，春草岂能关。何事栖霞客，从兹去不还。
黄山杂咏 丹霞峰（宋·邓宗度）　　五言绝句　押职韵	绮段堆青壁，点缀秋颜色。几使晓来风，纵横裁不得。
黄山杂咏 滴水岩（宋·邓宗度）　　五言绝句　押尤韵	石壁碎寒流，行人暮已愁。更倾风月耳，无水不生秋。
黄山杂咏 苍豹（宋·邓宗度）　　五言绝句　押文韵	却隐他山雾，来眠此洞云。区区麛鹿辈，战栗敢子群①。
