舫斋（宋·王宗贤）　　七言绝句　押阳韵	满船载月归时趣，泛宅浮家避世狂。趺坐舫斋能静嘿，神驰游宴无何乡①。
题漱玉馆（宋·王宗贤）　　七言绝句　押庚韵	寓馆欣传漱玉名，泉流古窦响琮琤。幽窗偃息惊回梦，误听虚檐雨滴声①。
九锁山道中（宋·王宗贤）　　七言绝句　押侵韵	山萦九锁路幽深，古木高森积翠阴。自是仙家风景异，欣欣杖策步云林①。
九锁山路口（宋·王宗贤）　　七言绝句　押先韵	九锁山深隐洞天，一峰柱耸现云巅。从兹可达栖真境，透入青霄会众仙①。
大涤山（宋·王宗贤）　　七言绝句　押寒韵	穹崇千尺压群峦，终日登临兴未阑。佳趣清幽尘自涤，升天犹有许君坛①。
大涤洞（宋·王宗贤）　　七言绝句　押覃韵	符札深投进玉函，琅琅震响穴难探。隔凡不许游人到，一窦中藏万丈潭①。
天柱山（宋·王宗贤）　　七言绝句　押东韵	擎天一柱出群峰，时见真仙隐化中。瑞应中都成福地，伯元主宰有神功①。
龙蜕洞（宋·王宗贤）　　七言绝句　押灰韵	羽人游洞获龙骸，知是鳞潜蜕骨来。岩穴嵌巉深数丈，惊人蛇虺隔凡才①。
