偈（宋·释中仁）　　押歌韵	九十春光已过半，养花天气正融和。海棠枝上莺声好，道与时流见得么。
举狗子无佛性话颂（宋·释中仁）　　押支韵	二八佳人刺绣迟，紫荆花下啭黄鹂。可怜无限伤春意，尽在停针不语时。
举与万法为侣因缘颂（宋·释中仁）　　押尤韵	秤锤搦出油，闲言长语休。腰缠十万贯，骑鹤上扬州①。
