渔父（宋·方丰之）　　七言绝句　押庚韵	已携巨鲤换新粳，尚有鲦鯈得自烹。闻道烹鲜易烦碎，呼儿勿用苦为羹。
历崎道中（宋·方丰之）　　七言绝句　押微韵	漠漠春阳接海低，濛濛晚雨傍山飞。半敧古埭无人过，时有村童护鸭归①。
绝句（宋·方丰之）　　七言绝句　押覃韵	舍人早定江西派，句法须将活处参。参取陵阳正法眼，寒花承露落毵毵①。
句（宋·方丰之）	天女终降大居士，登伽惟挠小乘禅（梅花）。
