隆庆（宋·陈鹏）　　七言绝句　押真韵	五丁尽力路通泉，百货东来蜀道贫。不以粪牛欺远俗，安知指虎有强臣①。
绵州乡贤堂（宋·陈鹏）	潼山高兮潼水清，厥钟秀兮乡之英。之人已去兮逖听风声，我怀孔切谁仪刑。有美张公兮开明庭，作新宫兮州之黉。著其为人兮加丹青，貌惟肖兮如生。或桐挺而孤高，或芝荂而九茎。或兰生兮春华，或菊秀兮秋馨。或凤跃而蛟翔，或凫将而鹤迎。使人咨嗟叹息而追惟兮，至其子孙又呜咽流涕而咿嘤。恍若接兮謦咳之音，内怀劝惧兮若从使令。亦瞻像兮昭昭，而起福兮冥冥。百年兮历时虽多，非张公兮谁与铭①。
句（宋·陈鹏）　　押删韵	桔柏江声犹在耳，木瓜园路已侵山①。
