伤世（宋·吕渭老）　　五言绝句　押侵韵	尘断征车杳，云低毳帐深。古今那有此，天地亦何心①。
薄幸（宋·吕渭老）	青楼春晚。昼寂寂、梳匀又懒。乍听得、鸦啼莺弄，惹起新愁无限。记年时、偷掷春心，花间隔雾遥相见。便角枕题诗，宝钗贳酒，共醉青苔深院。怎忘得、回廊下，携手处、花明月满。如今但暮雨，蜂愁蝶恨，小窗闲对芭蕉展。却谁拘管。尽无言、闲品秦筝，泪满参差雁。腰支渐小，心与杨花共远。
望海潮（宋·吕渭老）　　押萧韵	侧寒斜雨，微灯薄雾，匆匆过了元宵。帘影护风，盆池见日，青青柳叶柔条。碧草皱裙腰。正昼长烟暖，蜂困莺娇。望处凄迷，半篙绿水浸斜桥。孙郎病酒无聊。记乌丝醉语，碧玉风标。新燕又双，兰心渐吐，嘉期趁取花朝。心事转迢迢。但梦随人远，心与山遥。误了芳音，小窗斜日对芭蕉。
选冠子（宋·吕渭老）	雨湿花房，风斜燕子，池阁昼长春晚。檀盘战象，宝局铺棋，筹画未分还懒。谁念少年，齿怯梅酸，病疏霞盏。正青钱遮路，绿丝明水，倦寻歌扇。空记得、小阁题名，红笺青制，灯火夜深裁剪。明眸似水，妙语如弦，不觉晓霜鸡唤。闻道近来，筝谱慵看，金铺长掩。瘦一枝梅影，回首江南路远。
醉蓬莱（宋·吕渭老）	任落梅铺缀，雁齿斜桥，裙腰芳草。闲伴游丝，过晓园庭沼。厮近清明，雨晴风软，称少年寻讨。碧缕墙头，红云水面，柳堤花岛。谁信而今，怕愁憎酒，对著花枝，自疏歌笑。莺语丁宁，问甚时重到。梦笔题诗，帕绫封泪，向凤箫人道。处处伤心，年年远念，惜春人老。
满江红（宋·吕渭老）	晚浴新凉，风蒲乱、松梢见月。庭阴尽、暮蝉啼歇。萤绕井阑帘入燕，荷香兰气供摇箑。赖晚来、一雨洗游尘，无些热。心下事，峰重叠。人甚处，星明灭。想行云应在，凤凰城阙。曾约佳期同菊蕊，当时共指灯花说。据眼前、何日是西风，凉吹叶。
齐天乐 观竞渡（宋·吕渭老）	香红飘没明春水，寒食万家游舫。整整斜斜，疏疏密密，帘缬旗红相望。江波荡漾。称彩舰龙舟，绣衣霞桨。舞楫争先，歌笑箫鼓乱清唱。重来刘郎又老，对故园桃红春晚，尽成惆怅。泪雨难晴，愁眉又结，翻覆十年手掌。如今怎向。念舞板歌尘，远如天上。斜日回舟，醉魂空舞扬。
满江红 其四 次杨子耕韵（宋·吕渭老）	山绕吴城，修竹外、满林围碧。任孤樯百丈，远牵江色。政简民闲无一事，同游仍是鸳鸾客。到晚年、遗爱续新题，都堪说。修门赋，今谁续。痛饮士，天应惜。正彩霞垂帔，暮风飘瑟。笑疾禅痴今在否，风灯石火同飘忽。去醉乡、深处著身心，休铭栉。
沁园春（宋·吕渭老）	复把元宵，等闲过了，算来告谁。整二年三岁，尊前笑处，知他陪了，多少歌诗。岂信如今，不成些事，还是无聊空皱眉。争知道，冤家误我，日许多时。心儿。转更痴迷。又疑道、清明得共伊。但自家晚夜，多方遣免，不须烦恼，雨月为期。用破身心，博些欢爱，有后不成人便知。从来是，这风流伴侣，有分双飞。
满路花/促拍满路花 同柳仲修在赵屯（宋·吕渭老）	西风秋日短，小雨菊花寒。断云低古木，暗江天。星娥尺五，佳约误当年。小语凭肩处，犹记西园。画桥斜月阑干。鸟啼花落，春信遣谁传。尚容清夜梦、小留连。青楼何处，宝镜注婵娟。应念红笺事，微晕春山。背窗愁枕孤眠。
千秋岁（宋·吕渭老）	宝香盈袖。约腕金条瘦。裙儿细裥如肩皱。笑多簪髻侧，语小丝簧奏。洞房晚，千金未直横波溜。缘短欢难又。人去春如旧。枝上月，谁携手。宿云迷远梦，泪枕中残酒。怎奈向，繁阴乱叶梅如豆。
早梅芳近/早梅芳（宋·吕渭老）	画帘深，妆阁小。曲径明花草。风声约雨，暝色啼鸦暮天杳。染眉山对碧，匀脸霞相照。渐更衣对客，微坐自轻笑。醉红明，金叶倒。恣看还新好。莹汪粉泪，滴烁波光射庭沼。犀心通密语，珠唱翻新调。佳期、定约秋了。
