题康济泉（宋·颜度）　　七言绝句　押真韵	三年官事浑无补，一片丹心彻底真。更有灵康是知己，新泉为我现津津①。
冬至（宋·颜度）　　七言绝句　押微韵	至节家家讲物仪，迎来送去费心机。脚钱尽处浑閒事，原物多时却再归①。
呈左律师（宋·颜度）　　七言绝句　押齐韵	前辈高标说与谁，孤峰顶上路途迷。如今一向随流去，逐队成群步步低①。
