题高尚书夜山图二首（宋·赵孟淳）　　七言绝句　押庚韵	月底江山如昼好，楼中几席与秋清。剡藤不到高人手，一段风流可得成。
题桃（宋·赵孟淳）　　七言绝句　押冬韵	滴粉挼酥晕几重，风前红雨一枝浓。世间是色皆为妄，除却夭①桃单种松。
题梅（宋·赵孟淳）　　七言绝句　押鱼韵	雪意垂垂浸碧虚，香生一缕上琴书。何须百万西湖宅，遇有梅花便可居①。
谷（宋·赵孟淳）	农夫怨，农夫怨，此怨非是怨年荒，此怨翻因年谷贱。终年辛苦不少懈，及到秋成拟偿债。谁知斛粟不百钱，利尚不偿本仍在。秋来露冷刈穫时，早是朝来债又催。况兼荒政输官急，不管农夫垂泪泣。君王明哲洞无遗，此怨君王知不知①。
句（宋·赵孟淳）　　押庚韵	落花遇雨扫不去，败草经春刬又生（草）。
