题濠上斋二绝（宋·傅自修）　　七言绝句　押虞韵	焉知鱼乐我非鱼，梦里荣枯觉则无。休学痴蝇贪纸穴，小窗烘日谩跏趺。
偶成（宋·傅自修）　　七言绝句　押侵韵	叠翠亭前秋水深，思韩亭下木成林。一生不得文章力，且向潮阳度岁阴。
再题濠上斋（宋·傅自修）	外物为藩篱，障此道之径。昧则终日迷，达者默尔静。子夏出入间，悦乐犹异境。谁能入吾乡，节令四时正①。
