腰带水（宋·张炎）　　七言绝句　押微韵	犀绕鱼悬事已非，水光犹自湿云衣。山中几日浑无雨，一夜溪痕又减围①。
南浦 春水（宋·张炎）	波暖绿粼粼，燕飞来，好是苏堤才晓。鱼没浪痕圆，流红去，翻笑东风难扫。荒桥断浦，柳阴撑出扁舟小。回首池塘青欲遍，绝似梦中芳草。和云流出空山，甚年年净洗，花香不了？新绿乍生时，孤村路，犹忆那回曾到。馀情渺渺，茂林觞咏如今悄。前度刘郎归去后，溪上碧桃多少。
探春慢（宋·张炎）	银浦流云，绿房迎晓，一抹墙腰月淡。暖玉生烟，悬冰解冻，碎滴瑶阶如霰。才放些晴意，早瘦了、梅花一半。也知不做花看，东风何事吹散。摇落似成秋苑。甚酿得春来，怕教春见。野渡舟回，前村门掩，应是不胜清怨。次第寻芳去，灞桥外、蕙香波暖。犹听檐声，看灯人在深院。
高阳台 西湖春感（宋·张炎）	接叶巢莺，平波卷絮，断桥斜日归船。能几番游，看花又是明年。东风且伴蔷薇住，到蔷薇、春已堪怜。更凄然。万绿西泠，一抹荒烟。当年燕子知何处，但苔深韦曲，草暗斜川。见说新愁，如今也到鸥边。无心再续笙歌梦，掩重门、浅醉闲眠。莫开帘。怕见飞花，怕听啼鹃。
忆旧游 大都长春宫，即旧之太极宫也（宋·张炎）	看方壶拥翠，太极垂光，积雪初晴。阊阖开黄道，正绿章封事，飞上层青。古台半压琪树，引袖拂寒星。见玉冷闲坡，金明邃宇，人往深清。幽寻。自来去，对华表千年，天籁无声。别有长生路，看花开花落，何处无春。露台深锁丹气，隔水唤青禽。尚记得归时，鹤衣散影都是云。
凄凉犯 北游道中寄怀（宋·张炎）	萧疏野柳嘶寒马，芦花深、还见游猎。山势北来，甚时曾到，醉魂飞越。酸风自咽。拥吟鼻、征衣暗裂。正凄迷，天涯羁旅，不似灞桥雪。谁念而今老，懒赋长杨，倦怀休说。空怜断梗梦依依，岁华轻别。待击歌壶，怕如意、和冰冻折。且行行，平沙万里尽是月。
壶中天/念奴娇 夜渡古黄河，与沈尧道、曾子敬同赋（宋·张炎）	扬舲万里，笑当年底事，中分南北。须信平生无梦到，却向而今游历。老柳官河，斜阳古道，风定波犹直。野人惊问，泛槎何处狂客。迎面落叶萧萧，水流沙共远，都无行迹。衰草凄迷秋更绿，惟有闲鸥独立。浪挟天浮，山邀云去，银浦横空碧。扣舷歌断，海蟾飞上孤白。
声声慢 都下与沈尧道同赋别本作北游答曾心 传惠诗（宋·张炎）	平沙催晓，野水惊寒，遥岑寸碧烟空。万里冰霜，一夜换却西风。晴梢渐无坠叶，撼秋声、都是梧桐。情正远，奈吟湘赋楚，近日偏慵。客里依然清事，爱窗深帐暖，戏拣香筒。片霎归程，无奈梦与心同。空教故林怨鹤，掩闲门、明月山中。春又小，甚梅花、犹自未逢。
绮罗香 席间代人赋情（宋·张炎）	候馆深灯，辽天断羽，近日音书疑绝。转眼伤心，慵看剩歌残阕。才忘了、还著思量，待去也、怎禁离别。恨只恨、桃叶空江，殷勤不似谢红叶。良宵谁念哽咽。对熏炉象尺、闲伴凄切。独立西风，犹忆旧家时节。随款步、花密藏春，听私语、柳疏嫌月。今休问，燕约莺期，梦游空趁蝶。
庆春宫/高阳台 都睛寒食，游人甚盛，水边花外，多丽环集，各以柳圈祓禊而，亦京洛旧事也（宋·张炎）	波荡兰觞，邻分杏酪，昼辉冉冉烘晴。罥索飞仙，戏船移景，薄游也自忺人。短桥虚市，听隔柳、谁家卖饧。月题争系，油壁相连，笑语逢迎。池亭小队秦筝。就地围香，临水湔裙。冶态飘云，醉妆扶玉，未应闲了芳情。旅怀无限，忍不住、低低问春。梨花落尽，一点新愁，曾到西泠。
国香（宋·张炎）	莺柳烟堤。记未吟青子，曾比红儿。娴娇弄春微透，鬟翠双垂。不道留仙不住，便无梦、吹到南枝。相看两流落，掩面凝羞，怕说当时。凄凉歌楚调，袅馀音不放，一朵云飞。丁香枝上，几度款语深期。拜了花梢淡月，最难忘、弄影牵衣。无端动人处，过了黄昏，犹道休归。
