和孙公索酒（宋·刘延世）　　五言绝句　押真韵	紫貂寒拥鼻，绿蚁细侵唇。莲烛当时事，壶头此日春①。
自题墨竹（宋·刘延世）　　五言绝句　押真韵	酷爱此君心，常将墨点真。毫端虽在手，难写淡精神①。
水帘（宋·刘延世）　　五言绝句　押盐韵	冷筛千嶂雨，寒□一钩□。不放香烟出，长教隔画檐①。
种竹（宋·刘延世）　　七言绝句　押文韵	梅蒸方过有馀润，竹醉由来自古云。掘地聊栽数竿竹，开帘还当一溪云①。
鹧鸪（宋·刘延世）　　七言绝句　押删韵	冥冥花朵隔遥山，脉脉风烟暗百蛮。曾向黄陵嘲竹里，羽毛犹带泪痕斑。
翡翠（宋·刘延世）　　七言绝句　押微韵	避人忽起鸣衣桁，掠水飞来立钓矶。静处欲留看不足，翠光点破夕阳归。
子规（宋·刘延世）　　七言绝句　押微韵	一声迸裂青山竹，半夜沾残病客衣。还道离于天上去，不知何苦只思归①。
句 其一（宋·刘延世）	静室焚香盘膝坐，长廊看画散衣行（《孙公谈圃》卷下）。
