咏刺猬（宋·朱贞白）　　五言绝句　押先韵	行似针毡动，卧似栗裘圆。莫欺如此大，谁敢便行拳。
谒贵公子不礼书格子屏风（宋·朱贞白）　　五言绝句　押虞韵	道格何曾格，言糊又不糊。浑身总是眼，还解识人无。
题棺木（宋·朱贞白）　　五言绝句　押文韵	久久终须要，而今未要君。有时闲忆著，大是要知闻。
题狗蚤（宋·朱贞白）　　七言绝句　押歌韵	与虱都来不较多，㩧挑筋斗大娄罗。忽然管著一蓝子，有甚心情那你何。
咏螃蟹（宋·朱贞白）　　七言绝句　押虞韵	蝉眼龟形脚似蛛，未尝正面向人趋。如今饤在盘筵上，得似江湖乱走无①。
咏月（宋·朱贞白）　　押霰韵	当涂当涂见，芜湖芜湖见。八月十五夜，一似没柄扇。
咏莺粟子 其一（宋·朱贞白）　　押尤韵	倒排双陆子，稀插碧牙筹。既似柿牛妳，又如铃马兜。鼓搥并㩧箭，直是有来由。
