题公署（宋·陈峤）　　七言绝句　押真韵	当默任言言是垢，当言任默默为尘。当默当言俱无任，尘埃何由得到身①。
赠萧韡（宋·陈峤）　　七言绝句　押灰韵	一寸功名心已灰，翩然解组赋归来。中兴天子登耆旧，二十馀年挽不回①。
句（宋·陈峤）	彭祖尚闻年八百，陈郎犹是小孩儿（合卺夕）。
