樱桃（宋·谢希孟）　　五言绝句　押麻韵	谷雨樱桃落，薰风柳带斜。舜弦新曲在，休唱后庭花①。
咏芍药（宋·谢希孟）　　五言绝句　押支韵	好是一时艳，本无千岁期。所以谑相赠，载之在声诗。
句（宋·谢希孟）	为花虽可期，论德亦终鲜（牡丹）。
