山门夕阳洞（宋·章夏）　　押纸韵	暖凭磴藓坐，荫觅乔①松倚。一诣云屋深，猿鹤颇相喜。霜须白纷纷，谓我作黄绮。
涟漪洞（宋·章夏）　　押霁韵	石窦定神鹓，控隘潭水际。神灵浮槎入，想到珠宫憩。岂似武陵源，尚容人避世。
碧云洞（宋·章夏）　　押麌韵	褰裳踏寒流，路险仰称伛。崖根乳积雪，石脉泉溜雨。融结知何年，人间阅今古①。
紫云岩（宋·章夏）　　押个韵	林表翠光出，浮埃不能涴。俯瞰松下石，冉冉飞云过。何人来栖真，复怀须弥座①。
