婆饼焦（宋·惠迪）　　七言绝句　押萧韵	梦破一声婆饼焦，吴音未稳带春娇。不禁风力遥飞去，却引馀音过别条①。
送客（宋·惠迪）　　押屑韵	开怀有佳子，我别不忍别。连宵揽衣忙，就月歌数阕。歌长月欲落，酒尽情更切。凌晨□独行，祖赠馀曲糵。昨语已如梦，今语无对说。待得归来时，杨花满天雪（同上书卷四）。
句（宋·惠迪）	小屋牵萝补，高轩偃盖过（和答孙仲益）。
