山矾花（宋·祝穆）　　七言绝句　押删韵	玲珑叶底雪花寒，清昼香薰草木间。移植小轩供宴坐，恍疑身在普陀山①。
豫章（宋·祝穆）　　七言绝句　押冬韵	豫章偃蹇两苍龙，雪干宁须匠石逢。借重岁寒双大字，绝胜松拜大夫封①。
贺新郎（宋·祝穆）	此木生林野。自唐家、丝纶置阁，托根其下。长伴词臣挥帝制，因号紫微堪诧。常缥缈、紫微仙驾。料想紫微垣降种。紫微郎、况是名同者。兼二美，作佳话。一株乃肯临茅舍。肌肤薄、长身挺立，扶疏潇洒。定怯麻姑爬痒爪，只许素商陶冶。擎绛雪、柔枝低亚。我忆香山东坡老，只小诗、便为增声价。后当有，继风雅。
沁园春 寿宋通判（宋·祝穆）	自有东阳，锦水城山，几千百年。记往时仅说，拥麾刻郡，而今创见，持橐甘泉。地脉方兴，天荒欲破，还为盐梅生钜贤。清和候，正风薰日永，作地行仙。题舆小驻樵川。常只恐祖生先著鞭。算谁从井落，重新疆理，谁从襄岘，一洗腥膻。幕府归来，未应袖手，行有诏书来九天。勋名就，使吾乡夸诧，盛事流传。
句（宋·祝穆）　　押侵韵	黄花自与渊明别，不见闲人直到今（菊花）。
