句（宋·释省念）　　押先韵	一言截断千江口，万仞峰前始得玄。
偈（宋·释省念）　　押质韵	今年六十七，老病随缘且遣日。今年记却来年事，来年记著今朝日。
偈（宋·释省念）　　押真韵	白银世界金色身，情与非情共一真。明暗尽时俱不照，日轮午后示全身。
