偶书（宋·印首座）　　七言绝句　押灰韵	折脚铛儿谩自煨，饭馀长是坐堆堆。一从近日生涯拙，百鸟衔华去不来。
偈一首（宋·印首座）　　押寒韵	不挂寸丝方免寒，何须特地袅长竿。而今落落零零也，七佛之名甚处安①。
偈（宋·印首座）　　押筱韵	丘师伯莫晓，寂寂明皎皎。日午打三更，谁人打得了①。
