登雁门山绝顶（宋·朱庆朝）　　七言绝句　押寒韵	万丈仙山望欲寒，白云中断出栏干。登登忽向峰头立，好与凡人地上看①。
赤壁观泉（宋·朱庆朝）　　七言绝句　押侵韵	渺渺长流自古今，凭高凝眸几回深。欲知最上源头处，只在工夫着意寻。
应试渡江（宋·朱庆朝）　　七言绝句　押齐韵	旭日澄江新气齐，登舟直上武林西。桂花香发正秋月，隔岸渔歌相唤啼①。
