访姚雪蓬贬所（宋·释渊）　　七言绝句　押支韵	故里田园抛弟妹，异乡灯火对妻儿。十年漂泊孤篷雪，谁补梅花入楚辞①。
偈（宋·释渊）	节近端午，乍晴乍雨。带累达磨眼睛，特地和泥合土。二祖不会承当，雪庭枉受辛苦。引得后代儿孙，各自开张门户。或放南山毒蛇，或作玄沙猛虎。雪峰连辊三毬，禾山一味打鼓。山僧检点将来，尽是葛藤露布。争如吃饭著衣，此外更无佛祖。阿嫂便是大哥妻，师姑元是女人做。
临终偈（宋·释渊）	动静声色外，时人不肯对。世间出世间，毕竟使谁会①。
