新妇词（清·丁宝光）　　七言绝句　押支韵	静对菱花扫柳眉，妆台新样料郎知。晓誇点额红梅艳，京兆传神笔一枝。
和洪月樵见赠原韵（清·丁宝光）	驱山驾海回波涛，叹君才思逾黄滔。楚词湘怨满秋水，屈子问天日慅慅。我来东海将归去，与君剪烛忘更曙。江山离乱不可言，家国迁移岂知处。铸错十州罗绍威，魏地日削何所归。钟仪屈作南冠隐，相对英雄泪满衣。感君意气最磅礡，锦城岂恋①蜀中乐。庾信无心赋小园，何逊有诗留东阁。大荒晦迹又埋头，乾坤身世等泡沤。中原恢复放翁志，唐室兴亡杜甫愁。年年萧寺怀齑饭，四海一心思治乱。五岳游踪虽未通，九寰形势已知半。强作诗人恨且长，那堪异域托徜②徉。一朝文物沦殊俗，万里江湖望帝乡。健飞我亦伤摧③抑，得子文章壮行色。台山千载有传人，大名且满江南北。
和洪茂才月樵内弟见赠韵（清·丁宝光）	瀛东奇士蔚高藻，抱膝閒吟俱绝好。太息神州半陆沉，长①随徐福栖仙岛。我来海上已生桑，知君欲托烟霞老。不作蜀中扬子云，美新剧秦留文草。故国②河山举目非，功名心事今已违。化机却从南华悟，一身如蝶如梦飞③。琅环有奇谁得见，赏真君识庐山面。过访双扉借异书，放眼雄观④无厌倦。我闻洪朋夙工诗，家学传人深可期。况有茹古含今识，中西图史左右披。书生未洗弹冠念，气冲牛斗吐光燄。可叹今无张茂先，谁发丰城地中剑。中原时局非昔年，蚕食割据争垂涎。帝主伤心方失所，元龙应笑我求田。叹君秃尽毛锥子，家山啸傲才如此。海外何日来虬髯，泪冷英雄肉生髀。
