去京师（清·沈名荪）　　七言绝句　押微韵	望望南天云树学，沧浪仍卧钓鱼矶。谁言京洛缁尘满，我独还家是素衣①。
丙戍榜前梦罗昭谏见过二首（清·沈名荪）　　七言绝句　押庚韵	鹄袍乌帻一先生，刺写江东给事名。八百年来成把臂，可能同访旧云英①？
题画册（清·沈名荪）　　押元韵	篷开猎猎风脚，舵曳瀰瀰浪痕。杜宇飞边蜀道，哀猿啼处荆门。远红夕照千里，浓绿垂杨几村。已到落帆亭下，客心还怕黄昏①。
