寄北（清·徐珠渊）　　五言绝句　押先韵	风紧牵离别，镫残人未眠。此身无羽翼，安得到君边。
北寄小镜（清·徐珠渊）　　七言绝句　押删韵	六月扁舟别故山，劳劳旅况几时閒。伤心不启匣中镜，千里依依伴客颜。
怀北却寄（清·徐珠渊）　　七言绝句　押覃韵	雨滴梧桐秋不堪，忆君唯共接清谈。老天如识妾心苦，北地风霜尽入南。
春日望北信（清·徐珠渊）　　七言绝句　押庚韵	九十春归感叹生，黄梅时节乍阴晴。香闺有泪无人见，且倚阑干听鸟声。
