十六字令（清·钱贞嘉）　　押阳韵	鸳被暖，横陈白玉床。贪午睡，不识晓来霜。
忆王孙（清·钱贞嘉）	朱栏匀粉镜奁斜。蛛网丝丝罥碧纱。墙外荼蘼日影遮。曲篱笆。邻女携香换杏花。
忆王孙（清·钱贞嘉）	淡烟冲雾掠蜻蜓。秋渚潮回沙面平。一曲渔歌月满罾，水荭青，风落残红补断萍。
天仙子（清·钱贞嘉）	宝髻蓬松羞翠镜。诃梨贴面安黄正。残花鹯雨洒东风，风不静。花不定。杜娟啼老鸳鸯病。
菩萨蛮 盼信（清·钱贞嘉）	窗前风竹敲寒玉。回文不寄飞鸿足。立尽小花廊。归鸦影过墙。新诗和恨续。徙倚红阑曲。尘积旧琵琶。羞歌玉树花。
月笼沙 新犯曲（清·钱贞嘉）	纤手低笼，宝钏银纱，微掩酥胸。旧时相见画屏中。重向月光花影下，总是朦胧。无语含娇，小立多情，蜜意难通。小楼独自倚东风。夜夜夜深清泪滴，好梦成空。
