望江南 寄曹苇坚（清·查清）	春来也，依旧不相逢。梅放恨无人共赏，书裁幸有雁相通。何日返吴淞。
采桑子 答苇坚，步原韵（清·查清）	心情千里凭鱼雁，渭树江云。一望昏昏。不见江南锦绣春。尝餐匙滑莼羹美，今始思莼。恨昔逡巡。曾访溪边黄叶门。
山花子 邻女（清·查清）	嫩色新裁杏子衫。留仙裙染墨斑斑。罗袜覆鞋红一点，踏花残。水底照容容妒月，镜中梳鬓鬓成兰。假使当年吴道子，画应难。
忆秦娥 晚步访曹苇坚（清·查清）	斜桥畔。银丸照破垂杨线。垂杨线。垂垂满地，任侬蹂践。蘼芜碧映溪流浅。槿篱笆护柴门掩。柴门掩，囒囒犬吠，书灯红闪。
青玉案 美人倦绣（清·查清）	何来枝上禽调舌。轻唤起、庄生蝶。日映螺奁钿懒贴。梨容雨湿，柳腰烟袅，一样低回怯。临池拟学夫人帖。无力拈毫素笺摺。斜倚香篝裙褪结。春山频锁，秋波慵展，半是愁时节。
杏花天 杏花（清·查清）	甚花偷得春风巧。匀粉薄、凝脂犹少。梅花冷淡桃花俏。多被此花占了。蜂蝶采、花容自恼。烟雨润、花容自好。花外酒旗摇飏早。应有醉花人到。
感皇恩 柬曹苇坚（清·查清）	莫怪嗜鲈鱼，每怀珂里。接得鱼书眼开翳。山山水水，为甚描将书里。令人常惹望、江南意。此际华亭，桂花香细。绣阁应多消遣计。花间携手，人欲天从何易。梦牵红树，情深无已。
暗香 落梅（清·查清）	飞飞玉屑，第一番风信，吹来轻劣。唤起新妆，镜里纤英正宜贴。乱点丛兰石畔，恍疑是、寻芳蝴蝶。恁叨嘈、翠羽枝头，叫落黄昏月。呜咽。笛声彻。惹古驿荒村，梦魂凄绝。胆瓶冻裂，揉碎寒姿可禁折。寄语天边滕六，把撇下、馀香休灭。使片片，犹恋在、画裙百褶。
