题陶村诗稿（清·陈懋烈）　　七言绝句　押庚韵	一卷新诗百感生，经年避寇赋长征。壮怀不作偷安计，又向桃源起义兵。
题陶村诗稿（清·陈懋烈）　　七言绝句　押删韵	数载书生戎马间，杜陵史笔寄瀛寰。采风若选东征集，咄咄吟中见一斑。
题陶村诗稿（清·陈懋烈）　　七言绝句　押支韵	浣花溪畔少陵祠，绝代诗才赋乱离。谁料千年才更出，有人继和北征诗。
