哭宛君姑叶安人（明末清初·李玉照）　　七言绝句　押先韵	三年空望剡溪船，惆怅儿家宕子缘。却似蓬山风引去，不教凡质近神仙。
渔歌子（明末清初·李玉照）	秋思萦怀懒赋诗。黄昏深院月来迟。人静处，漏残时。一片幽情祗自知。
忆王孙（明末清初·李玉照）	幽闺深闭日如年。临镜无心整翠钿。赢得愁肠两处牵。思淹淹。裙带闲拈花柳边。
如梦令 夜坐（明末清初·李玉照）	梦入愁乡初醒。犹有残灯相映。铁马寂无声，金鸭沉烟已烬。清冷。清冷。谁念绣衾孤另。
醉公子 忆梦中美人（明末清初·李玉照）	无意拈花片。有恨抛针线。细想梦中人。芳姿记未真。默坐还相忆。珠泪和香滴。月色到窗纱。寻思暗抵牙。
