秋晚（清·窦氏）　　五言绝句　押侵韵	西风吹木叶，万户动寒砧。静院凭栏久，愁心无限深。
立秋（清·窦氏）　　七言绝句　押庚韵	梧飘一叶送秋声，风动凉生暑气清。万户寒砧催木叶，草根深处乱虫鸣。
赋得爱月夜眠迟（清·窦氏）	银蟾喜对宵如昼，夜凉寂静三更后。素魄将移花影斜，清光已射窗纱透。斗转银河碧汉流，牡丹带露弄轻柔。薰炉香烬浑忘寐，倚遍栏杆几曲楼。
