捣练子 新燕（清·束蘅）	掀帘看，乱红飘。新燕衔泥补旧巢。私语侍儿还记得，去年曾否立花梢。
南唐浣溪沙 西园春游同唐静因夫人（清·束蘅）	伤春春半始寻春。时样衣衫藕色新。团扇擎来明月满、好遮身。细数落花临曲涧，缓寻芳草步香尘。怪煞东风吹欲暮、促归轮。
苏幕遮 秋闺（清·束蘅）	绿窗闲，人已静。玉兔初升，银烛光摇冷。倦倚画楼栏自凭。庭院深深，墙角花枝映。小池新水明如镜，霜打残荷，几点无多剩。瘦减腰肢力不胜。无奈伤秋，愁绝鸳鸯病。
踏莎行 寄洛珍（清·束蘅）	暖透窗纱，云迷院树。停针时有熏风度。闲看稚子捉杨花，小鸟无心来又去。翡翠生色，芭蕉垂露。落红返照家门路。不知何事苦萦怀，怕听杜鹃啼不住。
