虎丘（清·阚寿坤）　　七言绝句　押歌韵	剑池风冷石陂陀，断塔荒凉一再过。闻道开元全盛日，夕阳箫鼓画桡多。
忆秦娥（清·阚寿坤）	垂珠箔。相邀女伴依妆阁。依妆阁。闲敲棋子，夜灯花落。转更渐冷嫌衣薄。呫吟不睡寻衫著。寻衫著。窗纱透晓，背灯才觉。
忆秦娥（清·阚寿坤）	繁华歇。繁华未了群芳接。群芳接。红楼夜雨，绿窗明月。清明寒食中秋节。池塘藕换东风雪。东风雪。梅花玉笛，拣花丝缬。
太平时（清·阚寿坤）	茉莉银丝穿鬓边。玉珠圆。酒阑灯灺枕函闲。可人怜。欲放仍含香细细，蒂排联。弯痕如月压鬟偏。殢云眠。
浣溪沙 联句（清·阚寿坤）	画歇棋停扫落花（德娴）。闲招蝴蝶近窗纱（周桂清、稚娴）。循廊刚欲过人家（德娴）。偏又回身穿槛去（稚娴），粉衣未忍扑欹斜（德娴）。忙时翻恨竹帘遮（稚娴）。
浣溪沙 用原韵（清·阚寿坤）	春雨一犁花已透（稚娴）。熏笼碳减馀残兽（德娴）。寒逼睡棠红尚皱（稚娴）。弓鞋滑怕苔阶溜（德娴）。明识无香招蕊嗅（稚娴）。特向通明章与奏（德娴）。
醉花间 寄雨人（清·阚寿坤）	难相语。试相语。相语添愁绪。鹏翮计图南，甚日丰毛羽。难兄羁宦旅。白发慈亲许。深情作壮情，安恋痴儿女。
点绛唇（清·阚寿坤）	一点胭脂，甚由惹起单于恨。醉馀妆竟，不怕樱红褪。茗啜春风，浅吸娇云润。兰膏沁。镜开重揾。淡拭唇边粉。
霜天晓角（清·阚寿坤）	官移宅徙。一棹家千里。休说故园诸伴，新花木、权抛尔。亲庭劳若此。客途杯酒侍。经过水村山郭，认画稿、斜阳里。
双调风蝶令/南歌子 戏有赠（清·阚寿坤）	躲袖笼鸳钏，拖裙掩凤鞋。盘云半臂趁身裁，日换时新银鍊、与金钗。额发中年画，妍媸背面猜。等闲结伴步香街，傲说苏州两字、笑人呆。
双调忆王孙（清·阚寿坤）	满地红飞成画景。馀别院、短柯风冷。化工不肯弃零缣，也抹上、胭脂粉。春来酣处归期紧。听一夜、小楼雨阵。子规生怕看花迟，特唤起、春眠醒。
卜算子 联句（清·阚寿坤）	作也如何爱。读也如何爱。读也忙忙作也忙，忙里闲工在（德娴）。在也由人会。会也由人再。再添会处会逾多，多亦忙何碍（稚娴）。
一叶落（清·阚寿坤）	一叶落。桐荫薄①。女牛不语挂檐角②。鹊桥几日成③，银河添波阔④。添波阔。不巧云何乐⑤。
沁园春 悯鹤，恭呈家大人（清·阚寿坤）	鸣亦依人，食亦依人，舞更态妍。溯来从沧海，青霄梦隔；调经仙吏，碧眼绿牵。此日供粮，他年作骥，君亦何嫌琴棹间。三年矣，忽营巢育子，惹病魔缠。林泉莫可供眠。便迫致、肝肠馀憾添。叹朅来归去，迹离华表，数同尸解，羽化吴天。六友名山，华阳真逸，瘗鹤风流相后先。痴儿女，拟葬经图说，聊附铭镌。
摸鱼儿 秋夜（清·阚寿坤）	问西风、甚时吹紧，催将鸿雁声悄。菊花拌坼重阳蕊，凉夜月圆天小。炉篆袅。晕一缕仙云，不碍飞琼笑。莺烦燕恼。道辜却韶光，传来冷信，逐渐岭梅早。谁家院。箫韵凄眠度晓。声声心事缠搅。丹凝禅悟寻常耳，还是文园幽妙。闲自料。烟云幻繁华，转眼成秋草。朱颜未老。正力避吴霜，冬馀强饭，竹素浣尘抱。
