十六字令 促织（清·王策）	愁。草际凄凄诉不休。良夜永，织就一庭秋。
閒中好（清·王策）	閒中好，薄日晏眠温。落尽东篱菊，青山淡不言。
明月斜 金陵晚望（清·王策）	石城乌，初啼歇。一线寒江万里秋，六朝残日殷如血。
望江南 无事二首（清·王策）	无个事，流目碧天西。万里江湖孤雁落，九秋风雨一龙飞。自捲钓丝归。
捣练子 夜泊（清·王策）	蘋叶老，蓼花寒。三尺低篷水镜宽。醉趁白鸥随意宿，暗潮流月下前滩。
小秦王 归燕（清·王策）	补垒衔泥记旧家。空梁惜别语周遮。小楼人倚斜阳里，未掩轻寒六扇纱。
南乡子（清·王策）	日影红檐。蜻蜓翼薄柳花粘。隔院鹦哥眠白昼。东风瘦。时节落花人病酒。
黄金缕 孤山（清·王策）　　押宥韵	千顷湖光柔绿绉。冷入拳山，草木都清瘦。落日梅稍风满袖。绿阴青子刚如豆。
玉连环影 雨（清·王策）	丝雨。日日愁千缕。湿尽阑红，又湿笼莺羽。翠帘斜。绣床遮。香腻轻绡，人懒似杨花。
如梦令 送别（清·王策）	落日酒初醒处。对立三叉野路。风色偃黄茅，山黑虎腥如雨。无语。无语。手把青萍竟去。
甘州子（清·王策）	画眉才了换花冠。帘雨细，篆香残。雀钗金腻涩烟鬟。风勒柳丝寒。青一把，搭在小阑干。
天仙子 晚发尚湖（清·王策）	远树惊乌飞不定。烟中渐吐青山影。犬声荒店未开门，西风紧。霜华凝。半湖残月芦花冷。
乌夜啼 庭中玫瑰一丛，秋来忽发数花（清·王策）	浓香艳紫重重。小阑中。夜半苔根露下、响秋虫。伤薄命。怜孤韵。一般穷。生把东风背了、受西风。
乌夜啼 丹阳归舟大风（清·王策）	峭帆十幅飞腾。饿鸱声。长啸骑蓬掠过、吕蒙城。腰下箭。匣中剑。似霜明。血染一江鲛鳄、不闻腥。
点绛唇（清·王策）	薄醉流连，小亭过雨新凉候。佯推罚酒。暗捻红酥手。又是黄昏，月影纤肌秀。银屏右。炉香初瘦。人落轻烟后。
点绛唇 偶感（清·王策）	谢了山茶，丝丝柳线青初引。绿衣心忍。不把红裙殉。侧帽凭阑，触著从前恨。春风鬓。十年香损。燐火衣花烬。
点绛唇 渡鄱阳湖作（清·王策）	雪柱冰车，洪涛日夜轰金铁。真龙撇捩。一战开王业。突兀康郎，绝顶云明灭。秋风烈。百年红叶。捲尽英雄血。
浣溪沙（清·王策）	晓镜春山翠欲流。嫩香酥晕玉红浮。自将裙带缚箜篌。飞絮著烟笼远岸，片云将梦下西楼。隔帘阴重罢梳头。
浣溪沙 梅（清·王策）	篱角烟轻玉一枝。雪边风味竹边姿。天寒袖薄正相思。半枕诗魂香未了，一分春色瘦难支。小桥流水月明时。
浣溪沙 玉山道中（清·王策）	绿叶莺啼卵色天。柳丝金老漾残烟。遥峰缺处乱云联。山脚草香低嫩蝶，滩头风紧闹渔船。小桥茅店酒旗偏。
