江南春 春草（清·陆敏）	风欲偃，路愁遥。枝头莺语滑，柳下马嘶骄。堤边嫩绿年年长，几换游人过画桥。
长相思 题月下抱琴美人图（清·陆敏）	风正凉。桂正香。月照当头树影墙。良宵暗断肠。灯闪墙。月移廊。欲抚丝桐情自伤。声中求凤凰。
蝶恋花 春尽（清·陆敏）	莺唤纱窗惊晓梦。日上三竿，乱把花枝弄。杨柳池塘烟水重。荼蘼香暖时相送。懊恼游蜂闲打閧。自捲湘帘，玉笛轻声弄。暗卜金钱何处用。六幺倒挂窗前凤。
青玉案 题赵夫人文淑画（清·陆敏）	寒山闺秀神清彻。映千尺，流泉雪。忽见花开来舞蝶。缣缃乍展，丹铅漫染，点缀香痕湿。玉人天授生花笔。非雾非烟空翠滴。好鸟和鸣呼欲出。红蕉白萼，柔枝嫩叶，生意毫端集。
