冬日寄外（清·陆凤池）　　七言绝句　押寒韵	烟水迢迢泛木兰，寒风残雪怯衣单。客裘自著江边雨，莫作临行泪点看。
梯仙阁閒眺（清·陆凤池）	风团花气沿溪暖，暗雨明霞红不断。燕掠汀洲人语稀，画桥烟薄芦芽短。日景曈昽殿阁攒，箫声缥缈水云宽。游船散去鸟飞绝，向晚山光扑鬓寒。
忆秦娥 杜鹃（清·陆凤池）	东风咽。杜鹃帘外啼红血。啼红血，一枝竹影，半庭残月。当年幽恨凭谁说。乡关望断真凄绝。真凄绝。不如归去，旧时宫阙。
雨中花 秋思（清·陆凤池）	满径芙蓉红如晕。更交映、桂芳菊润。听幽砌蛩吟，疏林蝉噪，惹起清秋恨。每叹流光容易尽。记七夕、鹊桥渡稳。早过了中秋，疏风斜雨，又是重阳近。
