捣练子 春闺（清·顾之琼）	雷殷殷，雨潺潺。帘捲春风拂面寒。开遍梨花归梦杳，和衣睡起月阑珊。
江南春 忆远（清·顾之琼）	星炯炯，思依依。关山幽梦绕，风雨暗魂飞。江南春好浑闲却，何事游人滞不归。
薄命女（清·顾之琼）	深夜悄。女使催眠还恨早，遣情浑不了。问君几许春愁，遥忆当年娇小。绣到鸳鸯思缭绕。钟声惊曙晓。
浣溪沙 春游（清·顾之琼）	腰肢瘦损不胜罗。无那春来病染多。含情未语照晴波。金约腕垂纤笋丽，玉搔头亸醉颜酡。小桥归艇起渔歌。
浣溪沙 闺思（清·顾之琼）	一缕乌云散篆香。雨丝红泪破残妆。沉吟长自送斜阳。烟袅袅升迟宝鼎，雨濛濛过冻银床。不堪人去日添长。
玉连环 月夜论诗迟潘夫人不至（清·顾之琼）	露寒曲槛红衣润，笑扶蝉鬓。徘徊临水照红妆，人比嫦娥差近。倩得鳞鸿通问，对花消恨。把文何事不同论，论有尽、思无尽。
虞美人影（清·顾之琼）	葳蕤深锁年华老。欹枕梦回啼鸟。春漏迢迢待晓。镇日忧心悄。卷帘满目游丝袅。零落杏花飞绕。缚帚呼童频扫。砌长忘忧草。
应天长（清·顾之琼）	绿阴风软黄鹂舌。往事重提千缕血。悄无言，眉几叠。博得瑶阶诉明月。醒难传，梦怎说。赚人真是离别。索性金鸡啼彻。任他长契阔。
意难忘 寄外（清·顾之琼）	柳絮飘扬。怪吹衣拂面，故作颠狂。春情无计住，午梦不禁长。纨扇洁、石屏凉。便沉醉何妨。一霎儿、峭风吹断，绣被翻香。觉来瘦怯罗裳。把同心带结，待寄檀郎。祝生生比翼，尽日日成双。春去速、蝶空忙。芳草映斜阳。又恐伊、封侯未稳，误了凝妆。
浪淘沙 惜春   见《众香词》、《词综》、《词雅》、《昭代词选》（清·顾之琼）	风静绮窗闲。一任妆残。昼长何事倚栏干。好梦不来春便去，几度芳年。极目楚江寒。烟棹平澜。月欺津渡雨欺山。帘外柳花飞絮也，因甚阑珊。
