登黄山（清·俞允若）　　七言律诗　押尤韵	漂泊身同不系舟，大江南北任沈浮。故园乍到翻如客，旧友重逢祇诉愁。剩水残山新阅历，野田荒圃小勾留。眼前何计苏民困，话到沧桑泪欲流。
思家（清·俞允若）　　七言绝句　押删韵	眼前烽火满乡关，镇日思家鬓渐斑。昨夜二更明月里，断鸿衔梦上君山。
七夕（清·俞允若）　　七言绝句　押寒韵	鹊桥风冷角声寒，斜月朦胧怯夜阑。诉尽离愁添别绪，年年此夕不成欢。
古渡（清·俞允若）　　七言绝句　押蒸韵	古渡沙虚岸夜崩，隔溪冷月挂枯藤。归来雨急汀洲暗，认得山妻照蟹镫。
七月初五，夜梦一老人，携登亭台，饮予以酒，命咏二绝。时酒气在喉，残镫映窗，披衣记此（清·俞允若）	看月水在天，看水月在地。水月两相辉，游者得天趣。
