狮子峰（清·赵学泗）　　七言绝句　押先韵	狰狞高踞镇龙泉，护法西来不计年。三乘参时醒也未，一声长唤应幡然。
普安观（清·赵学泗）　　七言绝句　押庚韵	摄衣扶杖到西明，石磴盘回涧水鸣。仙洞凌虚松籁细，波腾云涌万峰迎。
五佛顶（清·赵学泗）　　七言绝句　押元韵	森列峰头五佛尊，云衣松盖护昆崙。登临已觉天相近，欲摘星辰谁与论。
