舟至八闸为友人作画（清·道济）　　五言绝句　押麻韵	舟行将八闸，湖水荡无涯。渔艇千家岸，芦花一色沙。
临清过闸口号（清·道济）　　押豪韵	地倾水泻须凭闸，千里雷车信怒嗥。卷浪抛开珠散彩，崩空舞碎雪分涛。七十二门向北牢，东归此去渐凭高。锦云旋绕织秋袍，仙障中分虎势绦。鸣锣击鼓壮滔滔，行人驻看跃渊艚。飞帆拥簇驾图旄，推窗卷幔得挥毫。
故城河口号（清·道济）　　押歌韵	千回百折故城河，东倾西长分嵯峨。白杨灌木参天柯，处处成行古道么。古冢荒碑庙逶迤，水流浪打雪狼窝。行路之人嗟叹多，峥嵘斧削飞岩坡。楼船画鼓快如梭，锦缆人来寸寸呵。归空粮艘争天摩，歌声歌彻青云和。
与友人夜饮（清·道济）	忆昔相逢在黄檗，座中有尔谈天舌。即今头白两成翁，四顾无人冷似铁。携手大笑菊花丛，纵观书画江海空。镫光晃夜如白昼，酒气直透兜率宫。主人本是再来人，每于醉里见天真。客亦三千堂上客，英风竦飒多精神。拈秃笔，向君笑，忽起舞，发大叫。大叫一声天宇宽，团团明月空中小。
为友人写春江图（清·道济）　　押纸韵	书画非小道，世人形似耳。出笔混沌开，入拙聪明死。理尽法无尽，法尽理生矣。理法本无传，古人不得已。吾写此纸时，心入春江水。江花随我开，江月随我起。把卷坐江楼，高呼曰子美。一啸水云低，图开幻神髓。
