借书（清·徐畹芝）　　七言绝句　押鱼韵	玉剪堂前万卷储，一编许读乐何如。浮生愿向书丛老，不惜将身化蠹鱼。
月夜怀玉卮侄女（清·徐畹芝）　　七言绝句　押微韵	镫花欲灺篆烟微，坐久浑忘月上帏。忽忆昨宵微醉后，满身花影送君归。
寄浣花四姑（清·徐畹芝）　　七言绝句　押鱼韵	菜花桥畔是幽居，静掩双扉剥啄疏。为问新秋残暑后，调铅日著几行书。
