台阳八景（清·余延良）　　七言绝句　押咸韵	苍茫岛屿露巉岩，蟹舍渔村落日衔。一棹烟波藏巨镇，海天无际送归帆①。
台阳八景（清·余延良）　　七言绝句　押麻韵	荡缨标子竖横沙，的砾红灯灿落霞。久息欃枪歌乐利，浪花深处有渔家①。
台阳八景（清·余延良）　　七言绝句　押支韵	泱漭天然设险奇，激轮翻轴拍厜㕒。当关风捲桃花浪，闻说王师直入时①。
台阳八景（清·余延良）　　七言绝句　押东韵	圆锐孤悬蜃窟中，漫漫堆玉耸穹窿。谁知暖日炎荒地，也与匡庐景色同①。
台阳八景（清·余延良）　　七言绝句　押蒸韵	晨曦潋滟恰东升，万里鲸波晓雾蒸。欲捧晴晖霄汉近，赤嵌城畔紫云腾①。
台阳八景（清·余延良）　　七言绝句　押灰韵	迤涎浡潏竞公洄，极目洪涛亦壮哉。谁学元虚重作赋，浮天无岸一登台①。
台阳八景（清·余延良）　　七言绝句　押青韵	萧森清影罩幽亭，畅好涛声倚槛听。好似钱塘秋八月，濆沦澎濞鼓雷霆①。
台阳八景（清·余延良）　　七言绝句　押庚韵	散绮依稀天半晴，却从西屿望分明。轩轩欲举翻斜照，目送高标下赤城①。
