十六字令（清·钱启缯）	风。燕子归来绣幕中。清香送，习习小楼东。
醉花阴 夜坐（清·钱启缯）	庭院沉沉春欲暮。点滴芭蕉雨。宝篆已香销，默对孤灯，总是无情绪。海棠红褪花无语。又春深如许。燕子未归来，悄立黄昏，帘幕低垂处。
画堂春 纳凉（清·钱启缯）	好风冉冉藕花香。流萤飞去还藏。花边月影水边光。行到池塘。一曲瑶琴人倦，三更玉漏宵长。梧桐露滴趁秋凉，检点诗囊。
豆叶黄 夜雨（清·钱启缯）	丁冬玉漏又三更。雨滴檐铃不耐听。小坐无人掩画屏。听声声。点滴空阶直到明。
虞美人影 夜坐（清·钱启缯）	纱囊闲把流萤弄。风过微微齐拢。蓦地一声箫送。惊破清宵梦。夜凉天气轻云笼。犹见冰轮徐捧。帘外落花微动。但觉蚊雷拥。
渔家傲 夏日（清·钱启缯）	六月荷花香十里。三秋桂子醉难倚。风过新蝉声细细。听归雁，呼环莫把纱窗闭。帘捲落花疑蝶视。阶前络纬初鸣际。凭栏笑把轻纨启。看青天，■香一缕随风至。
望江南 避暑（清·钱启缯）	薰风至，夏日正无聊。帘押不开消酷暑，窗前绿影美人蕉，对此碧天遥。
望江南 寒食偶题（清·钱启缯）	花怯雨，绿漾柳含烟。杜宇声声啼晓月，黄鹂对对带春妍，爱此养花天。
望江南 暮春（清·钱启缯）	春柳拂，遥见小桃红。隔岸杨花看白糁，中庭鸟语觉春融，闲倚画墙东。
望江南 春雨（清·钱启缯）	深夜静，闲坐小窗前。雨滴芭蕉人不觉，风吹翠竹各芬妍，正值养花天。
望江南（清·钱启缯）	春烂漫，夜景夕阳斜。小立苔前遥望远，花枝芳拂柳枝遮，对此兴偏赊。
一斛珠 七夕（清·钱启缯）	绮筵瓜果。今宵乞巧中庭坐。画屏秋冷云深锁。小扇轻罗，点点飞萤火。亚字栏低斜月过，露花浓滴花枝亸。鹊桥度处轻云破。离别经年，泪洒珍珠颗。
