太湖（清·刘毓盘）　　五言绝句　押先韵	寒雁不成字，远山将化烟。大圜生脚底，摇梦入秋天。
别友（清·刘毓盘）　　七言绝句　押咸韵	安能郁郁久居此，抖擞缁尘白纻衫。转捩中流多涉险，东风虽好不张帆。
喜晴（清·刘毓盘）	梦回闻鹊欢，咄咄曦当昼。缸爿云扫开，积气塞天漏。譬诸久病痊，燥湿理相纠。无田不为灾，我独得天厚。此邦最低下，粉饰风俗厚。游民一胡多，弃土每八九。所恐黄淮冲，流离遍衰幼。蠲赈事两难，外肪中已朽。救荒于既荒，铤险絷鹿走。安能饥不食，祸率起于口。惟俭能支贫，转移一反手。使天而雨珠，我得食诸否。
茅山（清·刘毓盘）　　押元韵	飞花香过山去，老树声作涛喧。终日不闻世事，此间即是桃源。
