淮阴钓台（清·鲍康）　　七言绝句　押灰韵	欲搜遗址但蒿莱，屠钓中多大将才。千载兴亡君莫恨，歌风戏马尽荒台。
明妃（清·鲍康）　　七言绝句　押元韵	不向深宫拭泪痕，妍媸肯对画工论。笑他买赋长门女，却掷黄金结主恩。
古泉三十六韵（清·鲍康）　　五言排律　押先韵	雅癖推金石，鲰生更癖泉。搜罗偿夙愿，辛苦忆儿年。和峤情同锢，洪遵志续编。标新胪大小，绘影肖方圜。制向锱铢析，文徵面背全。殊形刀诘屈，异样布精坚。厌胜间情肆，题祥吉语联。旁稽瀛海外，详纪夏殷前。芬讶黏襟古，晖惊烛几鲜。青红苔绣湿，斑駮土花妍。偶值奇相饷，真令喜欲颠。五金纷冶铸，廿载耐磨研。贪许钩心斗，趋嗔捷足先。穷檐晨访踏，列肆夕流连。痴尚夸奇观，贫偏结古缘。但教珍翠椟，那惜卖珠钿。纨扇光如拭，藤床梦也牵。选叨刘宠赠，佩比阮修悬。旧谱瘢频索，新诗句好传。妒嗤悭出手，羡笑久垂涎。赝鼎思争售，鱼珠愧未捐。轶材搜宝钞，余事侑琼筵。雨过吟秋馆，凉招薄暮天。半生忙似贾，此日快疑仙。筠箔澄于水，纱窗白胜绵。瓯香斟苦茗，炉翠篆疏烟。罗列缣囊富，纵横锦箧骈。螺丸磨处腻，蚬楮拓来便。绮席人高踞，璇闺侣乍延。登登声著纸，悄悄影移砖。古篆盘蜗结，名书舞鹤翩。神争碑版秀，字证鼎彝镌。墨本装缃帙，邮筒递彩笺。剖疑滋辨论，数典费言诠。探袖逾三百，论缗贮十千。书迂还著录，兀兀事丹铅。
