扬州（清·周士彬）　　七言绝句　押虞韵	青楼歌舞胜杭苏，花月神仙总一途。骑鹤腰缠争艳羡，无人解道董江都①。
虫灾艰食赋以遣意（清·周士彬）　　押纸韵	力稼冀有秋，螟蟊害摩芑。非无负郭田，突烟寒不起。携镵斸土芋，矻矻云山里。盈筐遂忘疲，持归饷妻子。杜陵劳拾橡，柴桑欣采苡。身悴神常怡，先民安素履。喈喈林杪禽，饱葚声欢喜。何人抱穷愁，戚戚成愚鄙。抚琴写素怀，松月明窗几。天怜乐饥人，丰年行转矣①。
营巢燕（清·周士彬）　　押纸韵	双燕衔泥葺巢垒，飞去飞来掠烟水。巢成抱卵意苦辛，忍饥终日伏巢里。哺养新雏四五子，冲风冒雨寻鱼蚁。燕雏羽弱飞难起，母燕呢喃翔复止。一朝相引向天飞，子去母归谁顾视。独有前林慈乳乌，衔恩反哺情无已①。
