忆王孙 本意（清·季娴）	花光月色影霏微。阵阵香风拂绣帏。闲倚画屏兰麝郁。夜阑时。塞外双鸿归不归。
前题（清·季娴）	青梅如豆压枝低。淡绿轻红映钓矶。柳花如雪漫天飞。笋初肥。莲叶如钱浮小池。
秋波媚 忆维章夫子（清·季娴）	晴日疏帘暖气浮。春满画堂幽。嫩黄搓柳，淡红含杏，夕照高楼。忆君临发贻佳句，日懒未曾酬。嗔他黄鸟，偏来枝上，陡唤人愁。
月中行 晚步树园（清·季娴）	园林好景夕阳西。花压画桥低。争泥双燕受风欹。点缀暮春时。寂寂长廊无客到，楼台倒影漾方池。无端小婢促归迟。细细点游丝。
白苧 咏鲛绡（清·季娴）	蛟宫里，波纹静，几多姌袅。蕊珠璀璨，六月凉生殿阁。好安排、金针玉户裁云幕。约略渭川漪，琼山碧，是甚纬络。眯眯看去，宛尔晶光错落。记昔年、建章曾荷仙娥托。如昨。就锦霞帔，即今重见，依旧冰蚕乱缚。问线线丝丝，为谁缝却。多情阔别，怕涓涓泪滴，刺残巾角。拂拭殷勤，汗漫红见，数点斑驳。待出深潭，羡奇花软绰。
