示长媳杨珊珊（清·方京）　　七言绝句　押鱼韵	十年为妇《蓼莪》馀，疏水家风乐自如。宛似举场勤苦士，妆成惟对古人书。
薤上露（清·方京）	薤上露，日出晞。朝槿花，日暮萎。微物转瞬间，人生谅如斯。彭祖帝尧民，亦复同所归。服食求神仙，仙成竟何时。守道以待终，令名庶可垂。
送孟调大侄南还（清·方京）	相对疑梦寐，言别百愁生。孤飞易为感，使我心魂惊。聚散人生常，此别难为情。尔我本一树，相期共枯荣。尔今折枝条，芽肄何时萌。沾润我本怀，老髦愿难行。尔今返吴中，闭门守硁硁。勉哉崇令德，努力以扬名。取法不在远，祖父有遗型。周亲我老矣，垂涕重丁宁①。
