淮阴市（清·沙张白）　　五言绝句　押支韵	报辱犹官尉，酬恩忍见疑。区区酬报意，或冀汉皇知。
韩信城（清·沙张白）　　五言绝句　押元韵	项氏犹全族，韩侯竟灭门。可怜带砺誓，不及属镂恩。
虞城（清·沙张白）　　七言绝句　押庚韵	杞城才过又虞城，宾恪犹存旧日名。一样六朝称禅受，几曾白马到西京。
青县（清·沙张白）　　七言绝句　押齐韵	濯濯荒郊鸟不啼，孤城早锁夕阳西。两间土屋三家突，一石河流五斗泥。
桑弘羊（清·沙张白）　　押麌韵	弘羊好聚敛，讟谤迄终古。平准虽锱铢，所困在商贾。论功次士安，计罪薄介甫。安得生斯人，暂息闾阎苦。
秦桧（清·沙张白）	武穆真圣贤，秦桧亦豪杰。渡江二百年，赵氏绵血食。逢恶术最工，忌功计已拙。当时九重心，怀古师蒯辙。
鲍山管鲍分金处（清·沙张白）	彭生豕立雄狐摧，瓜熟不遣连称回。夷吾此日正穷饿，谁信若人天下才。盛年难得八口饱，白首更建三归台。知我之恩等生我，鲍山屹屹高千古。赠金独向三北时，此道今人弃如土。漫云鲍叔不怜才，眼中之人谁仲父。
盖公堂（清·沙张白）	盖公秦末老黔首，饱谙汤火出涂炭。无扰一言教相君，小福三齐大福汉。从来继乱道不同，纷纷变制徒倥偬。与时休息贵清净，愚者诧为黄老功。安得麒麟图画日，尽遣曹参师盖公。
逸民诗（清·沙张白）	天地一邮传，百岁亦过客。踯躅古与今，劳劳事行役。生忧在富贵，死忧在竹帛。于中有逸民，遗世而独立。抱名逃空山，不愿入载籍。斯人苟不存，天地削颜色。
