雷雨（清·肖雄）　　七言绝句　押豪韵	终年无雨湿荒郊，气脉难腾地太高。偏是新苗经未惯，农夫原不望春膏。
蚕桑（清·肖雄）　　七言绝句　押阳韵	彩帕蒙头手挈筐，河源两岸采柔桑。此中应有支机石，织出天孙云锦裳。
瓜果四首（清·肖雄）　　七言绝句　押麻韵	镇心齐剖绿沉瓜，翡翠冰融月一牙。更有甘芳黄玉软，囊驼筐篚贡天家。
园蔬（清·肖雄）　　七言绝句　押阳韵	几畦蔬菜不成行，白韭青葱着意尝。萝菔儿怜秋色老，蔓菁瓮贮隔年香。
花卉二首 其二（清·肖雄）　　七言绝句　押先韵	看花还是果林边，十里花光远接天。桃杏自娇梨爱素，斗他安石旧鲜妍。
气候六首（清·肖雄）　　七言绝句　押虞韵	西土高寒气候殊，伊州犹是一东隅。地分咫尺时争刻，翻乱征衣件件俱。
