有约（清·陈豪）　　七言绝句　押青韵	寻幽有约叩禅扃，风雪连朝未肯停。昨夜梅花来导我，蹇驴驮梦过南屏。
题画（清·陈豪）　　七言绝句　押歌韵	得鱼易醉已微酡，泛宅浮家涉历多。鸥鸟同眠江上稳，转疑朝市有风波。
子寿先生招饮乃园同子缜赓甫迟菊（清·陈豪）	即事有远心，所在成林僻。主人爱夏凉，延客布芳席。清尊取次斟，情话日已夕。揽衣循幽蹊，杂坐藉白石。茶味瀹花气，湛然沁胸膈。有亭面夷旷，栖迟类村陌。蓺菊连瓜畴，灌莲引泉脉。素月东方升，圆光补林罅。好风何处来，余意诚莫逆。平生丘壑志，眷焉怀在昔。良会自古今，誉名贵无斁。何以酬大贤，念此日乾惕。
游汉上琴台同紫缜伯晋（清·陈豪）	琴响久消歇，斯台遂今古。三人成此游，意至无宾主。野风吹藕花，花态各飞舞。入门讶清迥，炎曜忘亭午。薇妍红欲笑，林静碧无暑。倚窗盼湖天，柳阴过柔橹。山气余凉润，快哉昨宵雨。图画或不到，造化为之补。桅樯隐参差，遥情极江浒。暂与尘喧隔，徜徉乐兹土。俯听流水声，灵弦傥再鼓。
初夏（清·陈豪）	初夏坐南轩，园列滋敷荣。阶草亦含润，芳气薰晓晴。胸次已久静，何缘荆棘生。昨夕得快雨，天宇遂澄清。颇闻农夫语，新苗布纵横。默祝苍昊意，但期岁功成。人事暂以济，吾心奚所营。悠然念时运，欣慨常交并。平昔不嗜饮，一杯偶独倾。乘兴弄柔翰，时来白衣人。翻笑柴桑翁，高眠愁酒贫。澹静澄众虑，大贤百世师。葛侯与陶叟，襟抱无差池。和风吹我室，朱明已及时。拂簟展蕲竹，分盆供蜀葵。新荷未著花，芳翠良足怡。雨过流晨气，几研有余滋。游山方听泉，得闲偶赋诗。人境实深阻，吾道终泰夷。富贵何如贫，斯理曩昔知。湛然中有宝，百年慎自持。
