宿山中（清·引履祥）　　五言绝句　押删韵	明月不改色，青山留旧颜。故人零落尽，卧听水潺潺。
叹马二绝赠赵公简（清·引履祥）　　五言绝句　押齐韵	海内无争战，芳郊骋薄蹄。何颜随朔产，昂首学长嘶。
野步（清·引履祥）　　七言绝句　押萧韵	芳草纷纭藉麦苗，余红闲杂柳枝条。渔舟半出犀溪右，板击声声过野桥①。
闻禽（清·引履祥）　　七言绝句　押灰韵	寒光已逗人慵起，鸡声未已鸟声催。凡物有知皆药旦，因思百蛰候行雷。
和橙斋种菜诗（清·引履祥）　　七言绝句　押元韵	处世无如用拙尊，闲庭读《易》虱初扪。五更清梦回来稳，汲水朝畦咬菜根。
和程巽隐先生惜日短诗（清·引履祥）　　押先韵	木叶改荣落，相将又一年。所业未殊昔，徒为悲逝川。初谓不复尔，渐至乃依然。闻道果何日，诗书自简编。春秋三十六，不久成华颠。揽衣起徘徊，明发斯先鞭。
同游不同意（清·引履祥）　　押阳韵	鸿鹄举四海，雁鹜争稻粱。岂不号同群，所愿非一方。
感遇（清·引履祥）	自昔恳确田，力疲鲜所获。今兹受草莱，朝暮不遑适。反覆已四三，根盘匪易辟。筋骨岂尝爱，镃基未之惜。嘉种无新机，莠势转充斥。自分农家流，服勤乃长策。水旱会有时，蝥贼数庸厄。惟愿菑畬成，主伯蒙其益。亦令继自今，动免怨疆场。敢希乐郊人，岁取禾三百。
