十六字令 月（清·周日蕙）	圆。万古冰轮照大千。当头认，正好对婵娟。
十六字令 镜（清·周日蕙）	圆。照彻人间老少年。无尘蔽，长对美人颜。
十六字令 钱（清·周日蕙）	圆。榆荚苔纹也化仙。休长叹，买尽世间欢。
荷叶杯 儿童戏采荷叶作茶瓯，颇有逸致（清·周日蕙）	看得似钱成盖。还爱。蔽鸳鸯。儿童摘去共幽趣。分付。涤诗肠。
恋情深 外子有洞庭献唱词三卷，拟欲付梓，用毛司徒二首韵赠之，以识十年之攻苦（清·周日蕙）	刻意吟愁都哽咽。伴楼头月。构思常自拥寒衾。剥蕉心。青霜知否鬓边侵。擪笛向词林。不管瘦宽衣带，恋情深。
点绛唇 题自画梅花障子（清·周日蕙）	春到江南，凭君报道春无价。一枝横挂。宜淡宜浓画。玉魄冰魂，总胜凡花也。真潇洒。暗香浮夜。淡月疏篱下。
蝶恋花 送春（清·周日蕙）	九十春光谁自主。一树桃花，片片飞红雨。燕子衔将来又去。替人似欲留春住。满眼离情愁几许。芳草萋萋，绿遍春归路。忍说将离真个与。伤心岂独痴儿女。
