晚年偶吟（清·杨士芳）　　七言绝句　押庚韵	十载寒窗半读耕，倖登科甲立功名。门前五柳吾曾学，只愿融融过此生。
除夕书感 其一（清·杨士芳）　　七言绝句　押尤韵	年几八十复何求，寡过无能问自羞。朋友邀吾行善事，前愆可改免忧愁。
赋得千林嫩叶始藏莺 （清·杨士芳）　　五言排律　押阳韵	万户千门外，芳林列几行。叶方滋雨嫩，莺始带烟藏。深处栖宜稳，高枝借不妨。缕疏晴更翠，巢暗午犹凉。玉树新遮碧，金衣半露黄。春教舒锦幄，调欲谱银簧。绕屋阴仍浅，迁乔愿早偿。乘时来奋翼，鸾凤并翱翔。
