绝命词（清·范承谟）　　七言绝句　押庚韵	一笑襟开万怒平，龙兴有寺葬真卿。执旗厉鬼争前导，扫尽穿墙穴壁鼪。
句留吟（清·范承谟）	春日溶溶向夜深，松涛砧韵漏沈沈。兰亭少长频来梦，踏泛句留指碧岑。碧岑高矗云盘曲，四野青濛星陆续。手拂琼霄袖落霞，目低银汉回衡玉。玉衡遥指凤凰城，望美人兮心怦怦。瘦骨虽无缩地术，冰心尚信自天成。仰天欲语心转苦，怀抱纵横天尺五。奕叶貂蝉著国华，肯将姓氏污家谱。倦眼迷离望莆田，酸风如箭射眸穿。三年破榻悲谁语，几堵颓垣痛各天。各天同难天应祐，紫电青霜乌巷胄。将军亲执绣雕旗，跃马直前真荡寇。一战成功抱犊闲，朝来泛水暮留山。那知多少东陵兴，都付西风残照间。董贾文章虫唧唧，穷通贵贱裈中虱。谁御长风汗漫游。我欲从之万事毕。恍忽天际兮来我真人，驾玉麟兮饰宝琛。建朱旆兮耀金廷，邀王乔兮酒数斟。舞袁公兮抚真琴，《韶》《武》迭奏兮开余素心。何以处此寂寞兮，闻太古之元音。继而坐予芝山之巅、双松之下，启口微吟曰，海日升兮东方明，卿云烂兮泰阶平，仙霞开兮役五丁。山魈馘，海鲵烹，何为凄怆憔悴兮，日劳劳而自戕其生君。不见画角鸣兮鼓声起，为我殷勤慰诸子。义仁忠勇万人魁，永寿芳名纪青史。余乃爽然而惊、肃然而迎，三星在户，四顾一檠。情耿耿，砧声清。
武彝曲（清·范承谟）	吁嗟嘑！淮阴未遇兮漂母哀，螺山落魄兮武彝开。漂母一饭兮情生俄顷，武彝三岁兮凝结成衃。自是有心知顺逆，非因濒死起寒灰。三月十五鸡啼晨，辕门甲士往来频。气色非常人共骇，城头雷炮崩苍云。苍云未散挝鼍鼓，天吴欲沸刑天舞。直凭谈笑折狂锋，刀戟如林何足睹。刀比霜兮戟作林，两廊杀气遏飞禽。君恩臣节当今日，后土皇天鉴此心。此心久许主人死，谁解全躯保妻子。可怜相向大中丞，俯首无言但尔尔。一身九锁声郎当，鬼火空房淡日黄。百计劝餐罗粪土，踢翻几案蝶飞扬。吁嗟嘑！我凛如霜兮人呼铁面，我衷如火兮人难自见。世受国恩兮父子兄弟，敢忘报称兮骨劘血溅。既堕鬼隅兮言返吾真，咫尺首阳兮幸与为邻。常山舌利兮鲸鲵胆碎，吐气如虹兮断齿截龈。左右难堪兮怒色加，环睛按剑语声哗。十日肉枯神愈健，咆哮怒者亦兴嗟。武彝武彝古人风，慨吟包胥赋孤忠。秦庭七日能完楚，君更余三将无同。君何不忍须臾死，未必天心遽如此。怀光希烈真奇凶，终须斩馘献天子。君不见公孙杵臼告程婴，成事称难死事轻。无论鸿毛与泰岱，汉节终归苏子卿。我闻此语转增苦，我何人斯比苏武。暂吸滴水效吞毡，可能鍊石将天补。垢面蓬头欷复歔，满前异类总狂且。生何为兮死有恨，朔望踉跄拜帝书。多君慷慨心如揭，吾亦披肝饮君血。炎荒毒日渴喉焚，凉我燕山片片雪。冬月悲风透骨寒，殷殷雅意纩还热。一曲长歌笔未终，啾啾四壁虫声咽。呜呼，谁为沈阳之裔兮，子暨诸孙。睹此片纸只字兮，须知为死血将尽之流痕。当思何以处此兮，慰我生前未了之幽恨。吁嗟嘑！满目冉冉兮，八千里外之游魂。若使悠悠复泛泛，辜负亲恩与国恩。
嵇留山寄观骚注参证诗以纪之（清·范承谟）　　押阳韵	《怀沙》匿奇迹，忠彰道未扬。抑郁千载间，兰蕙隐华芳。值兹颠覆初，哲人罹危疆。冥会著《远游》，汨罗忽翱翔。浩浩水无垠，莽莽云俱苍。应知素心人，掩涕不可将。
