捣练子 梅花（清·张传）	皎似雪，洁如霜。分外清幽一种香。可爱冰心甘冷淡，几枝疏影照斜阳。
浪淘沙 秋夜（清·张传）	霜薄未曾严。金粟初添。暮山晴碧淡冰蟾。月姊怜香思照影，尽揭云帘。寒到尚迟淹。趁暖裁缣。闲愁端不上眉尖。挑起银灯消永漏，彩线重拈。
虞美人 春晴（清·张传）	荼縻架上莺声细。也道春光丽。轻寒轻暖养花天。早有牡丹几种、色鲜妍。晴丝抱逗残红片。兜住垂杨线。游人半为踏青归。恐怕妒花风雨、两相催。
