句容署中（清·张氏）　　七言绝句　押冬韵	一带青山雪径封，白云片片树重重。葛洪井与鲍姑宅，住在华阳第几峰。
自句容归里（清·张氏）　　七言绝句　押先韵	流水青山在眼前，归途恰值早春天。官贫一路无车马，觅得江南鸭觜船。
渡黄河有感（清·张氏）　　七言绝句　押歌韵	一曲中流《瓠子歌》，淮南落日渡黄河。不知底绩司空日，销尽金钱尔许多。
戊申京邸示儿（清·张氏）　　七言绝句　押寒韵	金马门前玉漏残，经年索米向长安。悲歌莫逐荆高侣，且耐官同易水寒。
送长儿之楚（清·张氏）　　七言绝句　押庚韵	黄鹤楼前白浪生，江流滚滚鄂王城。傥从鹦鹉洲边过，一吊才人祢正平。
