望江南 秋夜闻雁（清·归真道人）	深夜静，归雁泪秋空。几点横侵银汉里，一声清彻碧云中。斜月画楼东。
点绛唇 奉和严君九日游陶然亭（清·归真道人）	宿雨初收，南皋潇洒秋光透。重阳时候。满目蒹葭茂。白鸟闲飞，西岭晴岚秀。斜阳后。新诗吟就。顿觉云山瘦。
柳梢青 秋晓（清·归真道人）	残梦初回，晓钟未断，斜月犹明。短砌蛩吟，遐天雁唳，做尽秋声。半生身世堪惊。都付与、残阳晓星。月不常圆，花难久驻，今古同情。
小阑干 咏画美人（清·归真道人）	谁将俏笔写娉婷。人在小蓬瀛。斜倚楼窗，闲愁欲谱，玉笛手空擎。低头默默缘何事，无语似含情。秋水波澄，远山翠浅，蝉鬓绿云横。
