骑牛曲（清·陆师）　　七言绝句　押歌韵	牛背儿童自放歌，头头注涧复逾坡。问渠何法牛驯扰，鞭挞无惊刍牧多①。
杂感二首（清·陆师）	朝听衙鼓挝，暮听枥马嘶。夜长不成寐，忧来无端倪。老亲迟暮景，荒庭守蒿藜。雪髯添几茎，麦饭进几匙？白云天东南，可望不可跻。
之官真州述怀（清·陆师）　　押遇韵	昨归自东垣，结庐屏山住。书史寻夙好，长日尽可度。亲亡焉用禄，涕泗誓诸墓。此意愧未坚，又被微名误。绮罗纷五色，鸣机自织素。纵然违时趋，努力守故步。
杂咏（清·陆师）	独坐空堂中，时隐南郭几。悠然万虑消，止水清见底。无端一物交，倏尔两念起。因两遂生万，棼纭不可纪。静定动亦定，乌用著些子。鉴空而衡平，君当会斯理①。
祷雨自劾（清·陆师）	祝融乘权号令酷，赤日黄埃助炎熇。稚禾枯焦似束薪，涧溪涸竭行成陆。哀哉斯民瓶罍空，妇叹儿号盈白屋。已走群望荐牲璧，未见天公鞭蛰伏。天降灾祲非偶然，毋乃感召由司牧。一官衣食寄闾阎，何忍鞭箠等犬犊。本心未丧戒摧戕，于民无恩仅无毒。黄昏纵谢四知金，白日虚糜五斗粟。我今自分无寸长，官方久矣宜褫逐。安得旸雨时若民无饥，挂冠高隐弁山麓①。
