金陵旧院（清·蒋超）　　七言绝句　押真韵	锦袖歌残翠黛尘，楼台塌尽曲池湮。荒园一种瓢儿菜，独占秦淮旧日春。
文殊院（清·蒋超）　　七言绝句　押先韵	紫玉屏风敬佛筵，诸峰如笏上青天。偶来山寺空无主，惊起白猿松际眠。
春日郊行有感（清·蒋超）　　七言绝句　押尤韵	糁绿嫣红郭外稠，花开不待客登楼。穗头鹤发黄扉客，多少青春是梦游。
