岁暮琴川返棹，折得红绿梅。是日已立春矣，舟发赋此（四首录二）（清·顾书城）　　七言绝句　押麻韵	久客俄惊换岁华，归时赢得睹梅花。风轻日暖清芬逗，我与春光共到家。
杂咏（九首录五）（清·顾书城）　　押翰韵	日夕一登楼，依人怜王粲。芳草倏已衰，景物惊频换。遥遥望天末，美人隔河汉。达生怀步兵，高咏聊操缦。
乙酉春季哭南汇张啸山师（五首录一）（清·顾书城）	我朝崇学派，屈指推江浙。中间有华亭，顾陆开前哲。几社振云间，忠裕才而节。流风到王姚，前空后几绝。崛起有名儒，舒艺谈经室。渊源出仪徵，南丰更心折。岿然鲁灵光，好学忘耄耋。使君亲聘来，江乡奉圭臬。贱子得所宗，程门愿立雪。何图绝跻攀，教诲竟不屑。怅惘失因依，中心常蕴结。南望斗山高，亲炙一编切。噩耗忽传来，绛帷悲瑟撤。为位哭寝门，哀词当表碣。
拟李长吉上之回（五首录三）（清·顾书城）	上之回，七德舞。献泮宫，衅灵鼓。鲸观筑，狼胥封。销剑戟，铭鼎钟。蚩尤旂捲天弧屈，文治武功光日月。
