阑干万里心（春闺）  见《词综补》（清·袁嘉）	轻寒料峭雨连纤。一缕春愁似水添。瘦到腰围亦自嫌。意恹恹。满院飞花不捲帘。
木兰花慢（清·袁嘉）	绕琅玕深处，牵翠袖，堕明珰。早衰柳沉云，枯荷洗露，寒到银塘。鸳鸯绿波梦稳，怕分飞、冷了白萍乡。贪向湘阑凭处，钟声催送斜阳。思量。往事最难忘，水阁记传觞。惜花颊殷红，山眉绀碧，艳衬霞裳。流光又惊瞥眼，蓦西风、吹遍井梧霜。惆怅鸿来燕去，教人阅尽炎凉。
蝶恋花（新柳）（清·袁嘉）	陌上春回才几许。抹雨和烟，掩冉愁千缕。一角红楼帘捲处。有人偷效新眉妩。欲起还眠芳草渡。容易成阴，莫恨流光误。残月晓风添别绪，丝丝不绾归桡住。
金缕曲（悼亡）（清·袁嘉）	泪洒秋风里。化连枝、他生未卜，此生已矣。怨海难填天莫补，造物弄人何意。问可是、才遭天忌。剧使钗分怜薄命，叹伶仃、儿女今谁恃。家四壁，食烦指。凄凉事怕从头记。任销残、花红钿翠，脂芗粉腻。一自镜鸾悲独舞，云鬓飞蓬慵理。只赢得、朱颜憔悴。锦瑟年华随逝水，剩青灯壁月孤帷倚。金石矢，柏舟誓。
唐多令（雨夜不寐）（清·袁嘉）	支枕乱愁并，廉纤静夜听。响空阶、点滴分明。一样芭蕉秋战雨，浑不似、故园声。尘梦苦难醒，劳劳度此生。湿寒衾、泪已成冰，剩有归心随断雁，飘泊处、又无凭。
忆秦娥（清·袁嘉）	归舟急。春江月堕催停泊。催停泊。轻桡系处，柳丝笼碧。灵旗风卷芳魂灭。荒凉古庙留遗迹。留遗迹，空馀流水，为谁呜咽。
采桑子（春暮）（清·袁嘉）	惜春春去留难住，愁里年华。病里韶华。消尽吟情枉自嗟。风狂雨骤催飘泊，短命桃花。薄命杨花。底事伤心聚一家。
虞美人（清·袁嘉）	去年今夜他乡月。病酒兼伤别。今年又见月团圞。赢得今宵身在、故乡看。人生几度逢今夕。莫问阴晴缺。茫茫合向醉中过。自把一尊清酒、酹嫦娥。
临江仙（清·袁嘉）	记得钗分悲永别，经年砚匣尘封。而今重展泪花浓。伤心留断句，铃印未销红。玉镜台前馀独影，梨云梦断无踪。新愁旧恨压眉峰。茫茫泉路杳，何处盼鳞鸿。
念奴娇（暮春偶成）（清·袁嘉）	轻寒轻暖，又溟濛、作弄酿花天气。别有幽怀非中酒，可奈困人如醉。一缕情柔，三生梦浅，不问年华逝。春光何限，等闲都付流水。应惜燕妒莺嗔，啄残红蕙，护少金铃系。参到禅机原是幻，那管风凄雨细。絮已沾泥，丝偏织茧，难断悲凉意。绵绵长恨，问天天也知未。
唐多令（芦花）（清·袁嘉）	惯送往来舟。风生瑟瑟秋。傍荒滩、影共江流。一片冷云低欲护，栖不定、有沙鸥。浑似柳绵柔。吹残红蓼洲。叹年华、逝水难留。最是愁多头易白，担尽了、别离愁。
南歌子（春日病起）（清·袁嘉）	寒怯衣棱峭，眉嫌镜影浓。病馀落絮不禁风，为倩游丝宛转、罥飞红。泥酒心犹怯，搴芳事已空。梨花深院静帘栊、又是一年春负、雨声中。
高阳台  见《小罗浮馆词别录》（清·袁嘉）	邀鹤云闲，款鸥梦冷，西风吹散朋簪。待不思量，又因芳讯浮沉。却怜几叶芭蕉雨，作凄凉、响和疏砧。一声声，那管人愁，滴碎秋心。销魂。记取天涯别，怅河桥柳岸，隔浦春深。嚼蕊吹花，等闲妨了清吟。凭谁细唱潇潇曲，恁离情、强半难禁。证诗盟，剪烛何时，同话尘襟。
沁园春（对镜）  见《名媛诗话》（清·袁嘉）	圆冰之中，似是疑非，端详欲惊。恁两眉恨锁，潜消蛾绿，双鬟愁拥，暗换鸦青。水剪瞳寒，花搏颊艳，昔日怜伊此日憎。伤憔悴，问今吾故我，谁驻真形。晶莹枉自通灵。只难卜、团圞过一生。叹凭人幻象，随悲随喜，泥人痴坐，如醉如醒。帘捲春风，奁开秋月，独舞吟鸾感不胜。重磨拭，照瑕疵无愧，心共澄清。
金缕曲（呕血戏占）（清·袁嘉）	涌出莲花舌。蓦猜疑、九霄咳唾，霏成红雪。噙玉怀冰寒不沁，肝胆生来原热。是半世、胸头凝结。举目苍凉无处洒，看星星点点沾襟湿。还比较，泪痕赤。罗浮飘渺寻仙踪，怨天公、未容化蝶，偏教磨折。冷雨敲窗魂又返，也似短檠明灭。只听取、傍人相惜。说道虚名今古累，甚呕心奇句邀人识。尘寰梦，转轮掣。
