雨中晚步（清·陆应宿）　　七言绝句　押先韵	芳塘引步晚来天，柳色深沈暮色连。微雨小桥人独立，鹭莺飞破一溪烟。
绿珠（清·陆应宿）　　七言绝句　押灰韵	金谷楼前玉质摧，鸟啼月落有余哀。美人一点分明意，不是珍珠买得来。
七月三日夜坐（清·陆应宿）　　七言绝句　押真韵	玉宇微微衬薄云，银河何处问仙津。却怜新月如新妇，才露蛾眉便避人。
到随园（清·陆应宿）	此身如梦到嫏嬛，纸醉金迷独倚栏。六代山从高阁见，四时花向小春重。漫夸福地栖身好，转恐奇书尽读难。为语绛纱诸弟子，鲁公门下有韦丹。
